,BELL 230 A1 SA  |A___ROCOF____1R_.R,CHJO 500 A1 SA  |A___ROCOF____1R_.R
0,-0.005925516597926617,-0.007870984263718128
1,-0.006955456919968128,-0.008989982306957245
2,-0.007858285680413246,-0.00937142875045538
3,-0.008188881911337376,-0.008659372106194496
4,-0.005289721302688122,-0.007680254057049751
5,-0.00263214111328125,-0.0061543844640254974
6,-0.001068119890987873,-0.004781079478561878
7,-0.002873721532523632,-0.003814701922237873
8,-0.00286102294921875,-0.0045522116124629974
9,-0.0006739329546689987,-0.00423431396484375
10,-0.0029881764203310013,-0.0034840917214751244
11,-0.0027720071375370026,-0.003852839581668377
12,-0.002237968146800995,-0.00583648681640625
13,-0.0038019753992557526,-0.008252458646893501
14,-0.006383252330124378,-0.008506765589118004
15,-0.003013615496456623,-0.008697517216205597
16,-0.0016148854047060013,-0.009498603641986847
17,-0.0016784900799393654,-0.010019943118095398
18,-0.0021235132589936256,-0.00858306884765625
19,-0.003662109375,-0.006853735540062189
20,-0.007502222433686256,-0.0063705467619001865
21,-0.00823976006358862,-0.006866455078125
22,-0.008532190695405006,-0.006319682579487562
23,-0.009066271595656872,-0.005213418044149876
24,-0.013682045973837376,-0.005137121770530939
25,-0.01567840576171875,-0.005861925892531872
26,-0.0161743201315403,-0.006701149977743626
27,-0.01499176025390625,-0.006802878342568874
28,-0.014623012393712997,-0.007375079207122326
29,-0.01359303668141365,-0.008125308901071548
30,-0.01190185546875,-0.008659361861646175
31,-0.009880066849291325,-0.008188883773982525
32,-0.00787099078297615,-0.0066121420823037624
33,-0.007578532677143812,-0.005213419906795025
34,-0.008430481888353825,-0.0050481148064136505
35,-0.010083518922328949,-0.005302430130541325
36,-0.0091425571590662,-0.005353291053324938
37,-0.004755654372274876,-0.005594892427325249
38,-0.005060832481831312,-0.006497700233012438
39,-0.0058364905416965485,-0.007197065278887749
40,-0.005289711058139801,-0.00663756625726819
41,-0.0023269664961844683,-0.00560761196538806
42,-0.0020599365234375,-0.004603068809956312
43,-0.0015513086691498756,-0.0046539329923689365
44,-0.0006230617873370647,-0.0043741799890995026
45,-0.00011444790288805962,-0.003801982384175062
46,-0.002479548566043377,-0.004247026517987251
47,-0.0035985326394438744,-0.005772910080850124
